state,year,month,day,n_incidents,is_weekend,is_summer
Tennessee,2014,2,17,4,0,0
Tennessee,2014,2,18,5,0,0
Tennessee,2014,2,19,3,0,0
Tennessee,2014,2,20,8,0,0
Tennessee,2014,2,21,2,0,0
Tennessee,2014,2,22,9,1,0
Tennessee,2014,2,23,3,1,0
Tennessee,2014,2,24,7,0,0
Tennessee,2014,2,25,3,0,0
Tennessee,2014,2,26,1,0,0
Tennessee,2014,2,27,2,0,0
Tennessee,2014,2,28,2,0,0
Tennessee,2014,3,1,4,1,0
Tennessee,2014,3,3,1,0,0
Tennessee,2014,3,4,2,0,0
Tennessee,2014,3,5,3,0,0
Tennessee,2014,3,6,6,0,0
Tennessee,2014,3,7,3,0,0
Tennessee,2014,3,8,3,1,0
Tennessee,2014,3,9,4,1,0
Tennessee,2014,3,10,2,0,0
Tennessee,2014,3,11,4,0,0
Tennessee,2014,3,12,3,0,0
Tennessee,2014,3,13,5,0,0
Tennessee,2014,3,14,7,0,0
Tennessee,2014,3,15,3,1,0
Tennessee,2014,3,16,6,1,0
Tennessee,2014,3,17,6,0,0
Tennessee,2014,3,18,4,0,0
Tennessee,2014,3,19,6,0,0
Tennessee,2014,3,20,4,0,0
Tennessee,2014,3,21,4,0,0
Tennessee,2014,3,22,3,1,0
Tennessee,2014,3,23,2,1,0
Tennessee,2014,3,25,5,0,0
Tennessee,2014,3,26,6,0,0
Tennessee,2014,3,27,1,0,0
Tennessee,2014,3,28,3,0,0
Tennessee,2014,3,29,2,1,0
Tennessee,2014,3,30,6,1,0
Tennessee,2014,3,31,6,0,0
Tennessee,2014,4,1,1,0,0
Tennessee,2014,4,2,1,0,0
Tennessee,2014,4,3,4,0,0
Tennessee,2014,4,4,5,0,0
Tennessee,2014,4,5,3,1,0
Tennessee,2014,4,6,4,1,0
Tennessee,2014,4,7,3,0,0
Tennessee,2014,4,8,3,0,0
Tennessee,2014,4,9,2,0,0
Tennessee,2014,4,10,3,0,0
Tennessee,2014,4,11,2,0,0
Tennessee,2014,4,12,1,1,0
Tennessee,2014,4,13,3,1,0
Tennessee,2014,4,14,1,0,0
Tennessee,2014,4,15,3,0,0
Tennessee,2014,4,16,2,0,0
Tennessee,2014,4,17,4,0,0
Tennessee,2014,4,18,4,0,0
Tennessee,2014,4,19,2,1,0
Tennessee,2014,4,20,2,1,0
Tennessee,2014,4,21,6,0,0
Tennessee,2014,4,22,3,0,0
Tennessee,2014,4,23,2,0,0
Tennessee,2014,4,24,3,0,0
Tennessee,2014,4,25,5,0,0
Tennessee,2014,4,26,2,1,0
Tennessee,2014,4,27,3,1,0
Tennessee,2014,4,28,6,0,0
Tennessee,2014,4,29,1,0,0
Tennessee,2014,4,30,1,0,0
Tennessee,2014,5,1,3,0,0
Tennessee,2014,5,2,2,0,0
Tennessee,2014,5,3,4,1,0
Tennessee,2014,5,4,7,1,0
Tennessee,2014,5,5,3,0,0
Tennessee,2014,5,6,3,0,0
Tennessee,2014,5,7,5,0,0
Tennessee,2014,5,8,2,0,0
Tennessee,2014,5,9,3,0,0
Tennessee,2014,5,10,1,1,0
Tennessee,2014,5,11,2,1,0
Tennessee,2014,5,12,3,0,0
Tennessee,2014,5,13,6,0,0
Tennessee,2014,5,14,2,0,0
Tennessee,2014,5,15,7,0,0
Tennessee,2014,5,16,1,0,0
Tennessee,2014,5,17,4,1,0
Tennessee,2014,5,18,2,1,0
Tennessee,2014,5,19,4,0,0
Tennessee,2014,5,20,3,0,0
Tennessee,2014,5,21,5,0,0
Tennessee,2014,5,22,3,0,0
Tennessee,2014,5,23,2,0,0
Tennessee,2014,5,24,4,1,0
Tennessee,2014,5,25,3,1,0
Tennessee,2014,5,26,9,0,0
Tennessee,2014,5,27,7,0,0
Tennessee,2014,5,28,5,0,0
Tennessee,2014,5,29,8,0,0
Tennessee,2014,5,30,3,0,0
Tennessee,2014,5,31,5,1,0
Tennessee,2014,6,1,2,1,1
Tennessee,2014,6,2,5,0,1
Tennessee,2014,6,3,2,0,1
Tennessee,2014,6,4,10,0,1
Tennessee,2014,6,5,1,0,1
Tennessee,2014,6,6,3,0,1
Tennessee,2014,6,7,5,1,1
Tennessee,2014,6,8,4,1,1
Tennessee,2014,6,9,3,0,1
Tennessee,2014,6,10,4,0,1
Tennessee,2014,6,11,3,0,1
Tennessee,2014,6,12,8,0,1
Tennessee,2014,6,13,1,0,1
Tennessee,2014,6,14,2,1,1
Tennessee,2014,6,15,2,1,1
Tennessee,2014,6,16,6,0,1
Tennessee,2014,6,17,4,0,1
Tennessee,2014,6,18,5,0,1
Tennessee,2014,6,19,6,0,1
Tennessee,2014,6,20,4,0,1
Tennessee,2014,6,21,6,1,1
Tennessee,2014,6,22,4,1,1
Tennessee,2014,6,23,4,0,1
Tennessee,2014,6,24,5,0,1
Tennessee,2014,6,25,7,0,1
Tennessee,2014,6,26,7,0,1
Tennessee,2014,6,27,8,0,1
Tennessee,2014,6,28,4,1,1
Tennessee,2014,6,29,4,1,1
Tennessee,2014,6,30,5,0,1
Tennessee,2014,7,1,1,0,1
Tennessee,2014,7,2,1,0,1
Tennessee,2014,7,3,2,0,1
Tennessee,2014,7,4,7,0,1
Tennessee,2014,7,5,3,1,1
Tennessee,2014,7,6,5,1,1
Tennessee,2014,7,7,7,0,1
Tennessee,2014,7,8,7,0,1
Tennessee,2014,7,9,5,0,1
Tennessee,2014,7,10,4,0,1
Tennessee,2014,7,11,2,0,1
Tennessee,2014,7,13,12,1,1
Tennessee,2014,7,14,4,0,1
Tennessee,2014,7,15,5,0,1
Tennessee,2014,7,16,6,0,1
Tennessee,2014,7,17,5,0,1
Tennessee,2014,7,18,3,0,1
Tennessee,2014,7,19,4,1,1
Tennessee,2014,7,20,5,1,1
Tennessee,2014,7,21,4,0,1
Tennessee,2014,7,22,7,0,1
Tennessee,2014,7,23,4,0,1
Tennessee,2014,7,24,2,0,1
Tennessee,2014,7,25,3,0,1
Tennessee,2014,7,26,4,1,1
Tennessee,2014,7,27,3,1,1
Tennessee,2014,7,28,12,0,1
Tennessee,2014,7,29,8,0,1
Tennessee,2014,7,30,6,0,1
Tennessee,2014,7,31,9,0,1
Tennessee,2014,8,1,2,0,1
Tennessee,2014,8,2,8,1,1
Tennessee,2014,8,3,8,1,1
Tennessee,2014,8,4,4,0,1
Tennessee,2014,8,5,5,0,1
Tennessee,2014,8,6,7,0,1
Tennessee,2014,8,7,1,0,1
Tennessee,2014,8,8,3,0,1
Tennessee,2014,8,9,1,1,1
Tennessee,2014,8,10,7,1,1
Tennessee,2014,8,11,4,0,1
Tennessee,2014,8,12,8,0,1
Tennessee,2014,8,13,6,0,1
Tennessee,2014,8,14,2,0,1
Tennessee,2014,8,15,6,0,1
Tennessee,2014,8,16,8,1,1
Tennessee,2014,8,17,5,1,1
Tennessee,2014,8,18,1,0,1
Tennessee,2014,8,19,12,0,1
Tennessee,2014,8,20,8,0,1
Tennessee,2014,8,21,5,0,1
Tennessee,2014,8,22,4,0,1
Tennessee,2014,8,23,6,1,1
Tennessee,2014,8,24,3,1,1
Tennessee,2014,8,25,5,0,1
Tennessee,2014,8,26,7,0,1
Tennessee,2014,8,27,4,0,1
Tennessee,2014,8,28,4,0,1
Tennessee,2014,8,29,2,0,1
Tennessee,2014,8,31,6,1,1
Tennessee,2014,9,1,4,0,0
Tennessee,2014,9,2,7,0,0
Tennessee,2014,9,3,4,0,0
Tennessee,2014,9,4,5,0,0
Tennessee,2014,9,5,4,0,0
Tennessee,2014,9,6,6,1,0
Tennessee,2014,9,7,5,1,0
Tennessee,2014,9,8,6,0,0
Tennessee,2014,9,9,3,0,0
Tennessee,2014,9,10,9,0,0
Tennessee,2014,9,11,6,0,0
Tennessee,2014,9,12,6,0,0
Tennessee,2014,9,13,3,1,0
Tennessee,2014,9,14,3,1,0
Tennessee,2014,9,15,3,0,0
Tennessee,2014,9,16,7,0,0
Tennessee,2014,9,18,5,0,0
Tennessee,2014,9,19,3,0,0
Tennessee,2014,9,20,9,1,0
Tennessee,2014,9,21,11,1,0
Tennessee,2014,9,22,4,0,0
Tennessee,2014,9,23,3,0,0
Tennessee,2014,9,24,8,0,0
Tennessee,2014,9,25,5,0,0
Tennessee,2014,9,26,5,0,0
Tennessee,2014,9,27,9,1,0
Tennessee,2014,9,28,4,1,0
Tennessee,2014,9,29,3,0,0
Tennessee,2014,9,30,7,0,0
Tennessee,2014,10,1,5,0,0
Tennessee,2014,10,2,7,0,0
Tennessee,2014,10,3,9,0,0
Tennessee,2014,10,4,2,1,0
Tennessee,2014,10,5,1,1,0
Tennessee,2014,10,6,5,0,0
Tennessee,2014,10,7,8,0,0
Tennessee,2014,10,8,9,0,0
Tennessee,2014,10,9,3,0,0
Tennessee,2014,10,10,1,0,0
Tennessee,2014,10,11,2,1,0
Tennessee,2014,10,12,4,1,0
Tennessee,2014,10,13,4,0,0
Tennessee,2014,10,14,4,0,0
Tennessee,2014,10,15,6,0,0
Tennessee,2014,10,16,3,0,0
Tennessee,2014,10,17,3,0,0
Tennessee,2014,10,18,1,1,0
Tennessee,2014,10,19,7,1,0
Tennessee,2014,10,20,6,0,0
Tennessee,2014,10,21,4,0,0
Tennessee,2014,10,22,7,0,0
Tennessee,2014,10,23,4,0,0
Tennessee,2014,10,24,2,0,0
Tennessee,2014,10,25,7,1,0
Tennessee,2014,10,26,6,1,0
Tennessee,2014,10,27,2,0,0
Tennessee,2014,10,28,3,0,0
Tennessee,2014,10,29,4,0,0
Tennessee,2014,10,30,4,0,0
Tennessee,2014,10,31,2,0,0
Tennessee,2014,11,1,2,1,0
Tennessee,2014,11,2,4,1,0
Tennessee,2014,11,4,3,0,0
Tennessee,2014,11,5,1,0,0
Tennessee,2014,11,6,3,0,0
Tennessee,2014,11,7,1,0,0
Tennessee,2014,11,8,2,1,0
Tennessee,2014,11,9,8,1,0
Tennessee,2014,11,10,4,0,0
Tennessee,2014,11,11,8,0,0
Tennessee,2014,11,12,2,0,0
Tennessee,2014,11,13,7,0,0
Tennessee,2014,11,14,1,0,0
Tennessee,2014,11,15,3,1,0
Tennessee,2014,11,16,2,1,0
Tennessee,2014,11,17,2,0,0
Tennessee,2014,11,18,4,0,0
Tennessee,2014,11,19,8,0,0
Tennessee,2014,11,20,2,0,0
Tennessee,2014,11,21,1,0,0
Tennessee,2014,11,22,1,1,0
Tennessee,2014,11,23,7,1,0
Tennessee,2014,11,24,2,0,0
Tennessee,2014,11,25,3,0,0
Tennessee,2014,11,26,1,0,0
Tennessee,2014,11,27,7,0,0
Tennessee,2014,11,28,5,0,0
Tennessee,2014,11,29,5,1,0
Tennessee,2014,11,30,1,1,0
Tennessee,2014,12,1,5,0,0
Tennessee,2014,12,2,1,0,0
Tennessee,2014,12,3,8,0,0
Tennessee,2014,12,4,2,0,0
Tennessee,2014,12,5,5,0,0
Tennessee,2014,12,6,1,1,0
Tennessee,2014,12,7,1,1,0
Tennessee,2014,12,8,1,0,0
Tennessee,2014,12,9,1,0,0
Tennessee,2014,12,10,5,0,0
Tennessee,2014,12,11,1,0,0
Tennessee,2014,12,12,2,0,0
Tennessee,2014,12,13,2,1,0
Tennessee,2014,12,14,5,1,0
Tennessee,2014,12,15,6,0,0
Tennessee,2014,12,16,3,0,0
Tennessee,2014,12,17,4,0,0
Tennessee,2014,12,18,6,0,0
Tennessee,2014,12,19,2,0,0
Tennessee,2014,12,20,2,1,0
Tennessee,2014,12,21,7,1,0
Tennessee,2014,12,22,2,0,0
Tennessee,2014,12,23,7,0,0
Tennessee,2014,12,24,2,0,0
Tennessee,2014,12,25,5,0,0
Tennessee,2014,12,26,9,0,0
Tennessee,2014,12,27,1,1,0
Tennessee,2014,12,28,4,1,0
Tennessee,2014,12,29,1,0,0
Tennessee,2014,12,30,5,0,0
Tennessee,2014,12,31,4,0,0
Tennessee,2015,1,1,8,0,0
Tennessee,2015,1,2,2,0,0
Tennessee,2015,1,3,1,1,0
Tennessee,2015,1,5,5,0,0
Tennessee,2015,1,6,4,0,0
Tennessee,2015,1,7,6,0,0
Tennessee,2015,1,8,5,0,0
Tennessee,2015,1,9,4,0,0
Tennessee,2015,1,10,1,1,0
Tennessee,2015,1,11,4,1,0
Tennessee,2015,1,12,2,0,0
Tennessee,2015,1,13,4,0,0
Tennessee,2015,1,14,6,0,0
Tennessee,2015,1,15,1,0,0
Tennessee,2015,1,16,6,0,0
Tennessee,2015,1,17,5,1,0
Tennessee,2015,1,18,2,1,0
Tennessee,2015,1,19,3,0,0
Tennessee,2015,1,20,10,0,0
Tennessee,2015,1,21,1,0,0
Tennessee,2015,1,22,2,0,0
Tennessee,2015,1,23,2,0,0
Tennessee,2015,1,25,3,1,0
Tennessee,2015,1,26,6,0,0
Tennessee,2015,1,27,1,0,0
Tennessee,2015,1,28,3,0,0
Tennessee,2015,1,29,5,0,0
Tennessee,2015,1,30,3,0,0
Tennessee,2015,1,31,1,1,0
Tennessee,2015,2,1,2,1,0
Tennessee,2015,2,2,3,0,0
Tennessee,2015,2,3,5,0,0
Tennessee,2015,2,4,3,0,0
Tennessee,2015,2,5,5,0,0
Tennessee,2015,2,6,2,0,0
Tennessee,2015,2,7,9,1,0
Tennessee,2015,2,8,4,1,0
Tennessee,2015,2,9,6,0,0
Tennessee,2015,2,10,7,0,0
Tennessee,2015,2,11,1,0,0
Tennessee,2015,2,12,4,0,0
Tennessee,2015,2,13,2,0,0
Tennessee,2015,2,14,3,1,0
Tennessee,2015,2,15,1,1,0
Tennessee,2015,2,16,1,0,0
Tennessee,2015,2,17,1,0,0
Tennessee,2015,2,18,5,0,0
Tennessee,2015,2,19,3,0,0
Tennessee,2015,2,20,1,0,0
Tennessee,2015,2,21,4,1,0
Tennessee,2015,2,22,1,1,0
Tennessee,2015,2,23,3,0,0
Tennessee,2015,2,24,2,0,0
Tennessee,2015,2,25,2,0,0
Tennessee,2015,2,26,6,0,0
Tennessee,2015,2,27,3,0,0
Tennessee,2015,2,28,3,1,0
Tennessee,2015,3,1,8,1,0
Tennessee,2015,3,2,8,0,0
Tennessee,2015,3,3,4,0,0
Tennessee,2015,3,4,1,0,0
Tennessee,2015,3,5,2,0,0
Tennessee,2015,3,6,3,0,0
Tennessee,2015,3,7,4,1,0
Tennessee,2015,3,8,5,1,0
Tennessee,2015,3,9,2,0,0
Tennessee,2015,3,10,4,0,0
Tennessee,2015,3,11,6,0,0
Tennessee,2015,3,12,8,0,0
Tennessee,2015,3,13,3,0,0
Tennessee,2015,3,14,3,1,0
Tennessee,2015,3,15,5,1,0
Tennessee,2015,3,16,7,0,0
Tennessee,2015,3,17,4,0,0
Tennessee,2015,3,18,8,0,0
Tennessee,2015,3,19,5,0,0
Tennessee,2015,3,20,5,0,0
Tennessee,2015,3,21,10,1,0
Tennessee,2015,3,22,6,1,0
Tennessee,2015,3,23,9,0,0
Tennessee,2015,3,24,6,0,0
Tennessee,2015,3,25,4,0,0
Tennessee,2015,3,26,5,0,0
Tennessee,2015,3,27,3,0,0
Tennessee,2015,3,28,4,1,0
Tennessee,2015,3,29,3,1,0
Tennessee,2015,3,30,6,0,0
Tennessee,2015,3,31,5,0,0
Tennessee,2015,4,1,2,0,0
Tennessee,2015,4,2,5,0,0
Tennessee,2015,4,3,4,0,0
Tennessee,2015,4,4,4,1,0
Tennessee,2015,4,5,3,1,0
Tennessee,2015,4,6,5,0,0
Tennessee,2015,4,7,5,0,0
Tennessee,2015,4,8,2,0,0
Tennessee,2015,4,9,4,0,0
Tennessee,2015,4,10,6,0,0
Tennessee,2015,4,11,8,1,0
Tennessee,2015,4,12,5,1,0
Tennessee,2015,4,13,4,0,0
Tennessee,2015,4,14,4,0,0
Tennessee,2015,4,15,7,0,0
Tennessee,2015,4,16,10,0,0
Tennessee,2015,4,17,6,0,0
Tennessee,2015,4,18,3,1,0
Tennessee,2015,4,19,3,1,0
Tennessee,2015,4,20,10,0,0
Tennessee,2015,4,22,7,0,0
Tennessee,2015,4,23,4,0,0
Tennessee,2015,4,24,4,0,0
Tennessee,2015,4,25,7,1,0
Tennessee,2015,4,26,4,1,0
Tennessee,2015,4,27,5,0,0
Tennessee,2015,4,28,7,0,0
Tennessee,2015,4,29,6,0,0
Tennessee,2015,4,30,6,0,0
Tennessee,2015,5,1,5,0,0
Tennessee,2015,5,2,1,1,0
Tennessee,2015,5,3,2,1,0
Tennessee,2015,5,4,5,0,0
Tennessee,2015,5,5,3,0,0
Tennessee,2015,5,6,3,0,0
Tennessee,2015,5,7,3,0,0
Tennessee,2015,5,8,3,0,0
Tennessee,2015,5,9,1,1,0
Tennessee,2015,5,10,5,1,0
Tennessee,2015,5,11,3,0,0
Tennessee,2015,5,12,10,0,0
Tennessee,2015,5,13,10,0,0
Tennessee,2015,5,14,4,0,0
Tennessee,2015,5,15,6,0,0
Tennessee,2015,5,16,1,1,0
Tennessee,2015,5,17,9,1,0
Tennessee,2015,5,18,4,0,0
Tennessee,2015,5,19,5,0,0
Tennessee,2015,5,20,8,0,0
Tennessee,2015,5,21,8,0,0
Tennessee,2015,5,22,7,0,0
Tennessee,2015,5,23,2,1,0
Tennessee,2015,5,24,4,1,0
Tennessee,2015,5,25,3,0,0
Tennessee,2015,5,26,9,0,0
Tennessee,2015,5,27,9,0,0
Tennessee,2015,5,28,2,0,0
Tennessee,2015,5,29,2,0,0
Tennessee,2015,5,30,4,1,0
Tennessee,2015,5,31,6,1,0
Tennessee,2015,6,1,8,0,1
Tennessee,2015,6,2,6,0,1
Tennessee,2015,6,3,5,0,1
Tennessee,2015,6,4,6,0,1
Tennessee,2015,6,5,4,0,1
Tennessee,2015,6,6,3,1,1
Tennessee,2015,6,7,6,1,1
Tennessee,2015,6,8,4,0,1
Tennessee,2015,6,9,7,0,1
Tennessee,2015,6,10,5,0,1
Tennessee,2015,6,11,8,0,1
Tennessee,2015,6,12,3,0,1
Tennessee,2015,6,13,3,1,1
Tennessee,2015,6,14,6,1,1
Tennessee,2015,6,15,6,0,1
Tennessee,2015,6,16,5,0,1
Tennessee,2015,6,17,7,0,1
Tennessee,2015,6,18,4,0,1
Tennessee,2015,6,19,5,0,1
Tennessee,2015,6,20,5,1,1
Tennessee,2015,6,21,3,1,1
Tennessee,2015,6,22,4,0,1
Tennessee,2015,6,23,4,0,1
Tennessee,2015,6,24,7,0,1
Tennessee,2015,6,26,2,0,1
Tennessee,2015,6,27,7,1,1
Tennessee,2015,6,28,7,1,1
Tennessee,2015,6,29,4,0,1
Tennessee,2015,6,30,3,0,1
Tennessee,2015,7,1,6,0,1
Tennessee,2015,7,2,7,0,1
Tennessee,2015,7,3,5,0,1
Tennessee,2015,7,4,7,1,1
Tennessee,2015,7,5,8,1,1
Tennessee,2015,7,6,6,0,1
Tennessee,2015,7,7,3,0,1
Tennessee,2015,7,8,3,0,1
Tennessee,2015,7,9,6,0,1
Tennessee,2015,7,10,3,0,1
Tennessee,2015,7,11,3,1,1
Tennessee,2015,7,12,5,1,1
Tennessee,2015,7,13,5,0,1
Tennessee,2015,7,14,6,0,1
Tennessee,2015,7,15,8,0,1
Tennessee,2015,7,16,2,0,1
Tennessee,2015,7,17,11,0,1
Tennessee,2015,7,18,1,1,1
Tennessee,2015,7,19,2,1,1
Tennessee,2015,7,20,6,0,1
Tennessee,2015,7,21,1,0,1
Tennessee,2015,7,22,8,0,1
Tennessee,2015,7,23,6,0,1
Tennessee,2015,7,24,8,0,1
Tennessee,2015,7,25,7,1,1
Tennessee,2015,7,26,4,1,1
Tennessee,2015,7,27,6,0,1
Tennessee,2015,7,28,2,0,1
Tennessee,2015,7,29,6,0,1
Tennessee,2015,7,30,3,0,1
Tennessee,2015,7,31,4,0,1
Tennessee,2015,8,1,9,1,1
Tennessee,2015,8,2,4,1,1
Tennessee,2015,8,3,4,0,1
Tennessee,2015,8,4,5,0,1
Tennessee,2015,8,5,3,0,1
Tennessee,2015,8,6,3,0,1
Tennessee,2015,8,7,2,0,1
Tennessee,2015,8,8,6,1,1
Tennessee,2015,8,9,3,1,1
Tennessee,2015,8,10,4,0,1
Tennessee,2015,8,11,5,0,1
Tennessee,2015,8,12,4,0,1
Tennessee,2015,8,13,7,0,1
Tennessee,2015,8,14,6,0,1
Tennessee,2015,8,15,4,1,1
Tennessee,2015,8,16,4,1,1
Tennessee,2015,8,17,2,0,1
Tennessee,2015,8,18,10,0,1
Tennessee,2015,8,19,5,0,1
Tennessee,2015,8,20,4,0,1
Tennessee,2015,8,21,3,0,1
Tennessee,2015,8,22,4,1,1
Tennessee,2015,8,23,5,1,1
Tennessee,2015,8,24,7,0,1
Tennessee,2015,8,25,8,0,1
Tennessee,2015,8,26,5,0,1
Tennessee,2015,8,27,3,0,1
Tennessee,2015,8,28,3,0,1
Tennessee,2015,8,29,7,1,1
Tennessee,2015,8,30,6,1,1
Tennessee,2015,8,31,4,0,1
Tennessee,2015,9,1,5,0,0
Tennessee,2015,9,2,9,0,0
Tennessee,2015,9,3,5,0,0
Tennessee,2015,9,4,4,0,0
Tennessee,2015,9,5,5,1,0
Tennessee,2015,9,6,9,1,0
Tennessee,2015,9,7,5,0,0
Tennessee,2015,9,8,2,0,0
Tennessee,2015,9,9,11,0,0
Tennessee,2015,9,10,1,0,0
Tennessee,2015,9,11,6,0,0
Tennessee,2015,9,12,3,1,0
Tennessee,2015,9,13,7,1,0
Tennessee,2015,9,14,2,0,0
Tennessee,2015,9,15,3,0,0
Tennessee,2015,9,16,5,0,0
Tennessee,2015,9,17,3,0,0
Tennessee,2015,9,18,5,0,0
Tennessee,2015,9,19,9,1,0
Tennessee,2015,9,20,12,1,0
Tennessee,2015,9,21,6,0,0
Tennessee,2015,9,22,3,0,0
Tennessee,2015,9,23,3,0,0
Tennessee,2015,9,24,9,0,0
Tennessee,2015,9,25,8,0,0
Tennessee,2015,9,26,6,1,0
Tennessee,2015,9,27,6,1,0
Tennessee,2015,9,28,7,0,0
Tennessee,2015,9,29,4,0,0
Tennessee,2015,9,30,4,0,0
Tennessee,2015,10,1,5,0,0
Tennessee,2015,10,2,5,0,0
Tennessee,2015,10,3,3,1,0
Tennessee,2015,10,4,6,1,0
Tennessee,2015,10,5,6,0,0
Tennessee,2015,10,6,4,0,0
Tennessee,2015,10,7,2,0,0
Tennessee,2015,10,8,3,0,0
Tennessee,2015,10,9,4,0,0
Tennessee,2015,10,10,4,1,0
Tennessee,2015,10,11,6,1,0
Tennessee,2015,10,12,4,0,0
Tennessee,2015,10,13,4,0,0
Tennessee,2015,10,14,7,0,0
Tennessee,2015,10,15,5,0,0
Tennessee,2015,10,16,3,0,0
Tennessee,2015,10,17,4,1,0
Tennessee,2015,10,18,4,1,0
Tennessee,2015,10,19,3,0,0
Tennessee,2015,10,20,6,0,0
Tennessee,2015,10,21,3,0,0
Tennessee,2015,10,22,7,0,0
Tennessee,2015,10,23,1,0,0
Tennessee,2015,10,24,2,1,0
Tennessee,2015,10,25,6,1,0
Tennessee,2015,10,26,4,0,0
Tennessee,2015,10,27,5,0,0
Tennessee,2015,10,28,5,0,0
Tennessee,2015,10,29,4,0,0
Tennessee,2015,10,30,3,0,0
Tennessee,2015,10,31,4,1,0
Tennessee,2015,11,1,5,1,0
Tennessee,2015,11,2,4,0,0
Tennessee,2015,11,3,6,0,0
Tennessee,2015,11,4,2,0,0
Tennessee,2015,11,5,1,0,0
Tennessee,2015,11,6,1,0,0
Tennessee,2015,11,7,5,1,0
Tennessee,2015,11,8,6,1,0
Tennessee,2015,11,9,3,0,0
Tennessee,2015,11,10,3,0,0
Tennessee,2015,11,11,6,0,0
Tennessee,2015,11,12,5,0,0
Tennessee,2015,11,13,6,0,0
Tennessee,2015,11,14,5,1,0
Tennessee,2015,11,15,2,1,0
Tennessee,2015,11,16,7,0,0
Tennessee,2015,11,17,1,0,0
Tennessee,2015,11,18,3,0,0
Tennessee,2015,11,19,3,0,0
Tennessee,2015,11,20,2,0,0
Tennessee,2015,11,21,8,1,0
Tennessee,2015,11,22,2,1,0
Tennessee,2015,11,23,2,0,0
Tennessee,2015,11,24,5,0,0
Tennessee,2015,11,25,3,0,0
Tennessee,2015,11,26,3,0,0
Tennessee,2015,11,27,5,0,0
Tennessee,2015,11,28,2,1,0
Tennessee,2015,11,29,4,1,0
Tennessee,2015,11,30,8,0,0
Tennessee,2015,12,1,5,0,0
Tennessee,2015,12,2,8,0,0
Tennessee,2015,12,4,4,0,0
Tennessee,2015,12,5,2,1,0
Tennessee,2015,12,6,4,1,0
Tennessee,2015,12,7,6,0,0
Tennessee,2015,12,8,4,0,0
Tennessee,2015,12,9,5,0,0
Tennessee,2015,12,10,3,0,0
Tennessee,2015,12,11,5,0,0
Tennessee,2015,12,12,8,1,0
Tennessee,2015,12,13,4,1,0
Tennessee,2015,12,14,1,0,0
Tennessee,2015,12,15,5,0,0
Tennessee,2015,12,16,12,0,0
Tennessee,2015,12,17,6,0,0
Tennessee,2015,12,18,6,0,0
Tennessee,2015,12,19,2,1,0
Tennessee,2015,12,20,2,1,0
Tennessee,2015,12,21,5,0,0
Tennessee,2015,12,22,4,0,0
Tennessee,2015,12,23,3,0,0
Tennessee,2015,12,24,5,0,0
Tennessee,2015,12,25,6,0,0
Tennessee,2015,12,26,6,1,0
Tennessee,2015,12,27,2,1,0
Tennessee,2015,12,28,8,0,0
Tennessee,2015,12,29,4,0,0
Tennessee,2015,12,30,2,0,0
Tennessee,2015,12,31,5,0,0
Tennessee,2016,1,1,4,0,0
Tennessee,2016,1,2,5,1,0
Tennessee,2016,1,3,3,1,0
Tennessee,2016,1,4,3,0,0
Tennessee,2016,1,5,4,0,0
Tennessee,2016,1,6,4,0,0
Tennessee,2016,1,7,6,0,0
Tennessee,2016,1,8,6,0,0
Tennessee,2016,1,9,4,1,0
Tennessee,2016,1,10,2,1,0
Tennessee,2016,1,11,4,0,0
Tennessee,2016,1,12,6,0,0
Tennessee,2016,1,13,4,0,0
Tennessee,2016,1,14,6,0,0
Tennessee,2016,1,15,6,0,0
Tennessee,2016,1,16,4,1,0
Tennessee,2016,1,17,2,1,0
Tennessee,2016,1,18,3,0,0
Tennessee,2016,1,19,3,0,0
Tennessee,2016,1,20,2,0,0
Tennessee,2016,1,21,3,0,0
Tennessee,2016,1,22,2,0,0
Tennessee,2016,1,23,4,1,0
Tennessee,2016,1,24,2,1,0
Tennessee,2016,1,25,8,0,0
Tennessee,2016,1,26,1,0,0
Tennessee,2016,1,27,5,0,0
Tennessee,2016,1,28,6,0,0
Tennessee,2016,1,29,9,0,0
Tennessee,2016,1,30,6,1,0
Tennessee,2016,1,31,1,1,0
Tennessee,2016,2,1,2,0,0
Tennessee,2016,2,2,5,0,0
Tennessee,2016,2,3,4,0,0
Tennessee,2016,2,4,4,0,0
Tennessee,2016,2,5,7,0,0
Tennessee,2016,2,6,6,1,0
Tennessee,2016,2,7,5,1,0
Tennessee,2016,2,8,1,0,0
Tennessee,2016,2,9,3,0,0
Tennessee,2016,2,10,7,0,0
Tennessee,2016,2,11,4,0,0
Tennessee,2016,2,12,4,0,0
Tennessee,2016,2,13,9,1,0
Tennessee,2016,2,14,2,1,0
Tennessee,2016,2,15,4,0,0
Tennessee,2016,2,16,1,0,0
Tennessee,2016,2,17,2,0,0
Tennessee,2016,2,18,9,0,0
Tennessee,2016,2,19,4,0,0
Tennessee,2016,2,20,9,1,0
Tennessee,2016,2,21,5,1,0
Tennessee,2016,2,22,4,0,0
Tennessee,2016,2,23,10,0,0
Tennessee,2016,2,24,5,0,0
Tennessee,2016,2,25,4,0,0
Tennessee,2016,2,26,3,0,0
Tennessee,2016,2,27,4,1,0
Tennessee,2016,2,28,4,1,0
Tennessee,2016,2,29,3,0,0
Tennessee,2016,3,1,6,0,0
Tennessee,2016,3,2,7,0,0
Tennessee,2016,3,3,4,0,0
